subset,metric,rmse_best_job,metric_best_job,same_as_rmse_best,rmse_best_metric_value,metric_best_value,rmse_at_rmse_best,rmse_at_metric_best,rmse_change_pct
FD001,rmse,dual_cycle_h64_l1_w30,dual_cycle_h64_l1_w30,True,14.856520763636292,14.856520763636292,14.856520763636292,14.856520763636292,0.0
FD001,mae,dual_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,False,11.13461008389791,10.65529366016388,14.856520763636292,14.880539467630234,0.16167112324664695
FD001,nasa_s_score,dual_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,False,434.5781656917739,361.33967851929174,14.856520763636292,14.880539467630234,0.16167112324664695
FD001,critical_rmse_30,dual_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,False,4.229902688118782,3.2996623007891994,14.856520763636292,14.880539467630234,0.16167112324664695
FD001,critical_rmse_50,dual_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,False,5.960050546137917,5.394459197648961,14.856520763636292,14.880539467630234,0.16167112324664695
FD001,overestimation_ratio,dual_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,False,0.6533333333333333,0.48666666666666664,14.856520763636292,14.880539467630234,0.16167112324664695
FD001,overestimation_magnitude,dual_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,False,7.366327808698018,4.225973490079244,14.856520763636292,14.880539467630234,0.16167112324664695
FD004,rmse,dual_cycle_h64_l1_w30,dual_cycle_h64_l1_w30,True,22.31934655671697,22.31934655671697,22.31934655671697,22.31934655671697,0.0
FD004,mae,dual_cycle_h64_l1_w30,dual_cycle_h64_l1_w30,True,16.54492509749628,16.54492509749628,22.31934655671697,22.31934655671697,0.0
FD004,nasa_s_score,dual_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,False,5595.204963352521,3325.906028132233,22.31934655671697,22.38463806366109,0.2925332369305915
FD004,critical_rmse_30,dual_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,False,16.010708080550987,12.14928670545499,22.31934655671697,22.38463806366109,0.2925332369305915
FD004,critical_rmse_50,dual_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,False,19.190733678201696,15.107342935803226,22.31934655671697,22.38463806366109,0.2925332369305915
FD004,overestimation_ratio,dual_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,False,0.5483870967741935,0.44489247311827956,22.31934655671697,22.38463806366109,0.2925332369305915
FD004,overestimation_magnitude,dual_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,False,9.000270243613953,5.963591871082142,22.31934655671697,22.38463806366109,0.2925332369305915
